uid,dataset_id,rec_score,title,last_month_views,link
1,1305,0.5,Number of Members by Emirate and Factor,98905,https://grmds.org/node/10337
1,1862,0.47619047619047616,Transportation Department Permits - Racement Built Sha,96766,https://data.abudhabi/dataset/Transportation_Department_Permits_-_Racement_Built_Sha
1,464,0.4523809523809524,TIF Balance Sheets - Dober/Moct-2009zard,94409,https://grmds.org/node/12353
1,1323,0.42857142857142855,Map of Eques and Family Housing by Community District,94363,https://grmds.org/node/15352
1,1103,0.40476190476190477,"Ve of Gross Technical Provisions per Year for Non-Life, Composite Companies",93146,"https://data.abudhabi/dataset/Ve_of_Gross_Technical_Provisions_per_Year_for_Non-Life,_Composite_Companies"
1,1367,0.38095238095238093,Public Health Statistics 2017,93131,https://data.cityofchicago.org/d/zlmint
1,1999,0.35714285714285715,Crop Grouped by Emirate,92623,https://data.abudhabi/dataset/Crop_Grouped_by_Emirate
1,279,0.3333333333333333,City Facilities - Board Jurisdiction or Leased,91645,https://data.cityofchicago.org/d/mnxtav
1,1258,0.30952380952380953,and Age Group,90926,https://data.abudhabi/dataset/and_Age_Group
1,379,0.2857142857142857,Total number of cultivenroller Capacity for the following years 2015 to 2019,90593,https://data.abudhabi/dataset/Total_number_of_cultivenroller_Capacity_for_the_following_years_2015_to_2019
1,1,0.2619047619047619,and International Boat Show,41279,https://grmds.org/node/10288
1,2,0.23809523809523808,COVID-19 Cases by Age Groups,28821,https://data.cityofchicago.org/d/yxzlas
1,5,0.21428571428571427,New York City Population By Community District,16255,https://data.cityofchicago.org/d/kioklf
1,7,0.19047619047619047,B,15843,https://data.cityofchicago.org/d/zfvcsp
1,9,0.16666666666666666,Mayor Middle Contracts,15197,https://grmds.org/node/16552
1,4,0.14285714285714285,Street Construction Permits - Curricular,9733,https://data.cityofchicago.org/d/pqniuc
1,6,0.11904761904761904,Public Chacterizations,8632,https://data.cityofchicago.org/d/dscamg
1,11,0.09523809523809523,Annual City Council - Social Service (Ward Precyartenipalke in M,5760,https://data.abudhabi/dataset/Annual_City_Council_-_Social_Service_(Ward_Precyartenipalke_in_M
1,3,0.07142857142857142,Traffic Flow Counts,5727,https://data.cityofchicago.org/d/rjzeky
1,8,0.047619047619047616,by year 2020,5108,https://data.cityofchicago.org/d/krbufd
2,1305,0.5,Number of Members by Emirate and Factor,98905,https://grmds.org/node/10337
2,1862,0.47619047619047616,Transportation Department Permits - Racement Built Sha,96766,https://data.abudhabi/dataset/Transportation_Department_Permits_-_Racement_Built_Sha
2,464,0.4523809523809524,TIF Balance Sheets - Dober/Moct-2009zard,94409,https://grmds.org/node/12353
2,1323,0.42857142857142855,Map of Eques and Family Housing by Community District,94363,https://grmds.org/node/15352
