project_id,publisher_id
83,34311
646,27964
1334,27946
668,9522
1102,15165
295,31350
1809,38525
1415,8526
1542,14539
471,27298
1800,21918
1778,5296
982,5590
848,37382
218,28775
826,12724
815,2004
870,26644
1233,12034
1195,2884
475,36086
1890,15133
387,39209
1247,7043
896,16533
1628,11660
925,10376
1032,34367
1932,4163
1644,39066
1898,29182
1200,12021
139,25241
124,4888
109,2195
585,28019
258,21994
1902,36152
442,19580
1222,34057
1180,26159
1710,19479
857,4570
1326,10689
1011,30232
1675,20846
1560,3445
1410,10317
738,7647
224,20950
1879,21988
477,35583
1383,12677
1252,36331
473,33336
658,4301
428,18130
488,17326
13,14738
758,26004
381,9930
497,20478
1575,9697
1496,25012
1284,6142
1196,28072
1792,1450
780,21791
247,3909
1861,10205
1456,7908
1196,28340
1438,24264
271,38407
1786,27132
1475,10939
807,6128
376,34317
58,10467
314,14270
88,22973
1352,30965
347,11988
1867,37019
458,11482
1532,30086
98,16321
920,13765
1292,28207
819,32669
1821,24041
762,23579
1473,31884
1243,33326
1471,21447
157,23152
1430,23186
1356,15898
1460,28503
1017,28885
1094,18460
1884,14884
891,8490
1940,16357
647,5250
665,15758
262,10579
1326,19947
1919,34962
66,19542
1007,14723
102,17092
348,10384
1362,3408
1737,14318
1956,4442
448,11247
1415,34899
506,15767
1181,13014
867,30692
820,26085
1453,786
404,3253
1154,27781
430,3737
1274,25150
94,12633
1119,16202
736,27964
944,28407
1211,23132
1496,18128
271,27770
1785,22444
562,13863
1670,13515
1243,33346
250,25211
1882,363
1866,33200
154,21869
1267,17206
423,15842
207,9033
1590,34670
432,21540
1634,23373
396,32832
278,28222
1561,12036
1892,30474
1707,30308
1522,37796
1975,3774
242,37591
1286,27576
504,31020
683,28603
292,27180
1341,17075
1247,22591
1988,6455
361,6574
730,852
1819,31412
963,20217
1741,36221
620,2663
1674,10288
1235,36327
1426,30209
1375,22809
1590,35523
1917,31702
1875,16562
1437,12586
656,22281
783,10598
1184,31419
1295,12723
1429,37568
965,22115
530,21222
358,24876
1414,24021
1146,25056
855,17479
745,12455
457,19296
709,15573
902,24682
964,17475
643,13498
1133,39257
29,22095
268,18958
1956,32923
1155,13068
291,32747
